Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
182,Não,6.56,8.90,0.74
183,Não,5.20,7.23,0.72
184,Sim,9.01,12.30,0.73
185,Sim,9.02,11.47,0.79
186,Não,8.05,10.43,0.77
187,Não,7.99,10.07,0.79
188,Sim,9.02,11.70,0.77
189,Sim,9.02,11.70,0.77
190,Sim,9.02,11.30,0.80
191,Não,7.66,9.90,0.77
192,Sim,9.01,11.63,0.77
193,Sim,9.00,11.70,0.77
194,Não,6.96,9.33,0.75
195,Não,5.08,7.03,0.72
196,Sim,9.03,11.03,0.82
197,Sim,9.02,10.90,0.83
198,Não,4.49,6.27,0.72
199,Sim,9.02,11.03,0.82
200,Sim,9.01,11.50,0.78
201,Não,8.07,11.67,0.69
202,Sim,9.02,11.80,0.76
203,Sim,9.00,12.47,0.72
