# RESUMO ESTATÍSTICO - COMPARAÇÃO DE TREINAMENTOS
##################################################
# Arquivo: training_data.json
# Robot: robot_stage4
# Algorithm: TD3
# Environment: todos_alternados
# Data: 2025-11-27T10:20:18.673579
##################################################
# QUADRO DE RESUMO POR TIPO DE PISTA
Métrica,PR,PBA,PG,PRB,PRD,PRA,MÉDIA
Total Episódios,831,832,832,831,831,832,
Melhor Distancia,7.956,9.011,7.762,8.21,7.743,4.6,
Maior Recompensa,3989.755,4790.87,4063.704,4108.724,3026.948,3642.044,
Menor Distância,-1.235,-1.214,-1.496,-1.322,-1.425,-1.288,
Média recompensa,443.672,433.445,476.893,430.762,234.29,328.199,391.21
Média Distância,1.334,1.332,1.415,1.336,1.23,0.396,1.174
Episodios de sucesso,0,1,0,0,0,0,
Percentual de Sucessos,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
Total de Passos,99835,101298,116110,103621,72945,124593,
Total tempo (s),3327.833,3376.6,3870.333,3454.033,2431.5,4153.1,
Primeiro episódio de Sucesso,0,4903,0,0,0,0,
Soma passos até Primeiro Sucesso,0,97206,0,0,0,0,
Tempo do Primeiro Sucesso (s),0,14.967,0,0,0,0,
Número do Episódio mais rápido >9m,0,4903,0,0,0,0,
Melhor Tempo do Percurso (9m) (s),0,14.967,0,0,0,0,
% Sucessos depois de 9m,0.00%,6.70%,0.00%,0.00%,0.00%,0.00%,6.70%
##################################################
# DADOS DETALHADOS DOS EPISÓDIOS
Pista,episodio,distancia,tempo,recompensa,passos,successos,imu_x,imu_y,imu_z,roll_deg,pitch_deg,yaw_deg,imu_average_x_vel,imu_average_y_vel,imu_average_z_vel,roll_vel_deg,pitch_vel_deg,yaw_vel_deg,imu_x_vel,imu_y_vel,imu_z_vel,roll,pitch,yaw,roll_vel,pitch_vel,yaw_vel
PR,1326,0.006,1.633,-346.942,49,0,0.156,-1.027,0.459,72.511,-18.214,-20.855,0.001,-0.646,-0.358,205.790,11.902,-24.474,-0.195,-1.668,-3.027,1.266,-0.318,-0.364,3.592,0.208,-0.427
PBA,1327,0.818,3.333,-254.780,100,0,0.968,0.659,0.493,-65.219,55.436,-29.264,0.254,0.180,-0.155,-130.085,124.629,-66.807,0.981,0.408,-1.801,-1.138,0.968,-0.511,-2.270,2.175,-1.166
PG,1328,0.828,1.600,-290.742,48,0,0.978,-0.486,0.498,75.158,66.440,31.178,0.543,-0.332,-0.289,48.047,158.887,-156.930,0.358,-2.037,-1.260,1.312,1.160,0.544,0.839,2.773,-2.739
PRA,1329,0.796,1.533,-289.867,46,0,0.946,-0.372,0.553,78.533,60.938,42.139,0.546,-0.286,-0.286,50.241,180.766,-251.581,0.016,-2.052,-1.325,1.371,1.064,0.735,0.877,3.155,-4.391
PRB,1330,0.307,1.333,-371.645,40,0,0.457,-1.025,0.426,71.800,34.789,-7.237,0.218,-0.817,-0.484,177.422,123.924,-95.099,-0.511,-1.461,-3.051,1.253,0.607,-0.126,3.097,2.163,-1.660
PRD,1331,0.477,1.500,-328.024,45,0,0.627,-0.810,0.446,66.945,34.277,11.293,0.312,-0.560,-0.385,162.318,102.312,-70.940,-0.186,-1.639,-2.547,1.168,0.598,0.197,2.833,1.786,-1.238
PR,1332,0.107,2.633,-371.735,79,0,0.257,-1.048,0.451,76.986,-15.881,-6.337,0.031,-0.414,-0.223,198.220,-102.683,-80.034,-0.802,-1.838,-2.632,1.344,-0.277,-0.111,3.460,-1.792,-1.397
PBA,1333,0.982,1.667,-189.759,50,0,1.132,-0.041,0.513,69.068,70.095,63.514,0.625,-0.049,-0.271,145.456,123.130,-49.970,0.959,-1.020,-1.360,1.205,1.223,1.109,2.539,2.149,-0.872
PG,1334,0.044,1.367,-362.186,41,0,0.194,-0.819,0.426,79.582,-8.116,-19.029,0.017,-0.637,-0.464,246.715,4.401,-104.084,-1.076,-1.445,-3.603,1.389,-0.142,-0.332,4.306,0.077,-1.817
PRA,1335,0.903,1.667,-287.505,50,0,1.053,0.284,0.568,-23.912,59.357,-12.379,0.551,0.162,-0.244,-9.192,96.413,-6.341,0.963,0.058,-0.936,-0.417,1.036,-0.216,-0.160,1.683,-0.111
PRB,1336,0.994,1.500,-293.402,45,0,1.144,0.265,0.465,-35.543,65.801,-29.018,0.669,0.165,-0.337,-9.464,128.475,-33.283,1.048,-0.239,-1.457,-0.620,1.148,-0.506,-0.165,2.242,-0.581
PRD,1337,1.011,1.500,-285.783,45,0,1.161,0.168,0.377,-27.080,72.524,-20.530,0.678,0.098,-0.402,7.164,151.095,-5.460,1.047,-0.103,-1.886,-0.473,1.266,-0.358,0.125,2.637,-0.095
PR,1338,0.875,1.500,-222.024,45,0,1.025,0.403,0.468,-77.977,58.288,-64.603,0.604,0.265,-0.321,-102.434,138.219,-46.033,0.584,0.400,-1.003,-1.361,1.017,-1.128,-1.788,2.412,-0.803
PBA,1339,0.888,1.433,-326.714,43,0,1.038,0.506,0.474,-56.529,53.889,-37.041,0.630,0.344,-0.361,-129.279,101.334,-69.823,0.957,0.411,-1.392,-0.987,0.941,-0.646,-2.256,1.769,-1.219
PG,1340,0.895,1.500,-317.680,45,0,1.045,0.507,0.471,-62.872,61.632,-44.091,0.614,0.325,-0.322,-95.574,141.411,-78.807,0.793,0.224,-1.206,-1.097,1.076,-0.770,-1.668,2.468,-1.375
PRA,1341,0.873,1.367,-314.007,41,0,1.023,0.420,0.568,-39.166,61.389,-29.313,0.662,0.287,-0.276,-96.757,111.139,-96.189,0.914,-0.103,-0.916,-0.684,1.071,-0.512,-1.689,1.940,-1.679
PRB,1342,0.875,1.400,-318.384,42,0,1.025,0.181,0.496,-17.110,81.331,-14.617,0.662,0.106,-0.308,32.953,121.147,-22.600,0.962,-0.461,-1.132,-0.299,1.419,-0.255,0.575,2.114,-0.394
PRD,1343,0.963,1.467,-229.149,44,0,1.113,0.168,0.481,160.434,88.307,152.397,0.711,0.084,-0.309,29.179,136.428,-6.579,1.145,-0.290,-1.095,2.800,1.541,2.660,0.509,2.381,-0.115
PR,1344,0.831,1.400,-196.832,42,0,0.981,0.064,0.551,91.506,79.078,81.302,0.660,0.018,-0.278,68.220,119.079,-106.230,1.166,-0.855,-0.757,1.597,1.380,1.419,1.191,2.078,-1.854
PBA,1345,0.824,1.367,-280.834,41,0,0.974,0.104,0.578,-73.273,75.067,-66.486,0.638,0.045,-0.247,-19.567,137.412,-1.985,0.832,-0.187,-0.346,-1.279,1.310,-1.160,-0.342,2.398,-0.035
PG,1346,0.836,1.200,-239.579,36,0,0.986,0.119,0.540,102.032,87.181,87.862,0.772,0.067,-0.328,50.046,125.674,-51.339,1.101,-0.261,-1.033,1.781,1.522,1.533,0.873,2.193,-0.896
PRA,1347,0.727,1.333,-302.691,40,0,0.877,0.349,0.617,-75.233,60.645,-60.895,0.573,0.254,-0.236,-78.317,119.756,-57.587,0.461,0.379,-0.548,-1.313,1.058,-1.063,-1.367,2.090,-1.005
PRB,1348,0.785,1.300,-276.335,39,0,0.935,0.133,0.569,-74.318,75.880,-66.670,0.636,0.083,-0.282,-35.580,143.537,-17.505,0.744,-0.287,-0.699,-1.297,1.324,-1.164,-0.621,2.505,-0.306
PRD,1349,0.668,1.333,-281.301,40,0,0.818,0.536,0.574,-82.304,56.182,-60.064,0.538,0.395,-0.262,-109.195,88.131,-59.287,0.497,0.637,-0.626,-1.436,0.981,-1.048,-1.906,1.538,-1.035
PR,1350,0.879,1.433,-211.816,43,0,1.029,0.375,0.530,-79.498,74.815,-68.121,0.657,0.248,-0.276,-105.447,148.358,-68.929,0.866,-0.183,-0.805,-1.388,1.306,-1.189,-1.840,2.589,-1.203
PBA,1351,0.590,1.333,-365.985,40,0,0.740,0.553,0.621,-91.081,48.977,-67.270,0.489,0.413,-0.216,-130.592,123.670,-71.216,0.385,0.820,-0.676,-1.590,0.855,-1.174,-2.279,2.158,-1.243
PG,1352,0.565,1.267,-368.467,38,0,0.715,0.613,0.563,-80.679,36.106,-60.114,0.490,0.486,-0.292,-148.918,105.332,-19.142,0.604,1.453,-1.172,-1.408,0.630,-1.049,-2.599,1.838,-0.334
PRA,1353,0.845,1.367,-217.274,41,0,0.995,0.164,0.557,-62.131,82.571,-63.084,0.655,0.113,-0.258,-10.771,143.959,38.717,0.426,-0.061,-0.555,-1.084,1.441,-1.101,-0.188,2.513,0.676
PRB,1354,0.668,1.633,-279.303,49,0,0.818,0.462,0.608,-86.818,55.939,-64.883,0.454,0.288,-0.168,-165.267,95.917,26.876,0.364,1.092,-0.125,-1.515,0.976,-1.132,-2.884,1.674,0.469
PRD,1355,0.778,1.300,-310.292,39,0,0.928,0.438,0.612,-77.131,45.169,-65.873,0.642,0.329,-0.259,-110.118,140.963,-98.816,0.557,0.831,-1.373,-1.346,0.788,-1.150,-1.922,2.460,-1.725
PR,1356,0.797,1.167,-346.744,35,0,0.947,0.413,0.451,-71.233,25.667,-14.235,0.745,0.328,-0.413,-176.195,36.544,75.284,1.102,0.929,-2.565,-1.243,0.448,-0.248,-3.075,0.638,1.314
PBA,1357,0.712,1.133,-253.848,34,0,0.862,0.189,0.560,137.152,84.072,129.538,0.716,0.140,-0.317,5.306,139.260,-58.148,1.147,-0.111,-1.026,2.394,1.467,2.261,0.093,2.431,-1.015
PG,1358,0.613,1.133,-347.954,34,0,0.763,0.572,0.452,-72.225,21.089,-7.660,0.596,0.478,-0.425,-193.756,23.525,46.118,0.805,1.308,-2.544,-1.261,0.368,-0.134,-3.382,0.411,0.805
PRA,1359,0.707,1.333,-321.218,40,0,0.857,0.498,0.701,-58.599,24.197,-60.422,0.570,0.372,-0.201,-115.141,104.872,-117.900,0.541,1.197,-1.203,-1.023,0.422,-1.055,-2.010,1.830,-2.058
PRB,1360,0.644,1.400,-396.992,42,0,0.794,0.720,0.477,-85.309,24.931,-58.984,0.500,0.523,-0.337,-223.476,91.349,-50.677,0.343,1.616,-1.792,-1.489,0.435,-1.029,-3.900,1.594,-0.884
PRD,1361,0.556,1.400,-388.632,42,0,0.706,0.730,0.450,-91.908,28.830,-54.330,0.432,0.536,-0.351,-229.138,93.906,-32.229,0.088,1.512,-1.841,-1.604,0.503,-0.948,-3.999,1.639,-0.563
PR,1362,0.580,1.333,-317.038,40,0,0.730,0.629,0.558,-85.210,43.041,-64.697,0.484,0.477,-0.281,-154.820,115.632,-6.300,0.336,1.386,-1.090,-1.487,0.751,-1.129,-2.702,2.018,-0.110
PBA,1363,0.634,1.333,-319.708,40,0,0.784,0.473,0.590,-73.470,43.928,-60.645,0.508,0.359,-0.246,-133.335,105.365,-46.233,0.577,1.215,-0.568,-1.282,0.767,-1.058,-2.327,1.839,-0.807
PG,1364,0.660,1.167,-326.621,35,0,0.810,0.687,0.454,-75.221,25.650,-16.322,0.631,0.571,-0.402,-182.858,59.612,35.514,0.865,1.339,-2.526,-1.313,0.448,-0.285,-3.191,1.040,0.620
PRA,1365,0.683,1.167,-332.105,35,0,0.833,0.519,0.476,-71.060,25.083,-21.553,0.641,0.428,-0.406,-175.011,9.990,36.406,0.921,1.325,-2.226,-1.240,0.438,-0.376,-3.055,0.174,0.635
PRB,1366,0.692,1.633,-281.787,49,0,0.842,0.536,0.636,-75.559,48.497,-63.622,0.452,0.326,-0.190,-147.535,162.931,-1.675,0.701,0.831,-0.437,-1.319,0.846,-1.110,-2.575,2.844,-0.029
PRD,1367,0.634,1.233,-322.788,37,0,0.784,0.488,0.454,-73.806,-4.967,-24.706,0.557,0.365,-0.381,-210.567,-80.544,-5.685,0.715,0.922,-2.730,-1.288,-0.087,-0.431,-3.675,-1.406,-0.099
PR,1368,0.638,1.167,-333.932,35,0,0.788,0.495,0.482,-73.045,14.632,-23.204,0.602,0.408,-0.383,-194.160,22.656,5.385,0.773,1.046,-2.573,-1.275,0.255,-0.405,-3.389,0.395,0.094
PBA,1369,0.584,1.200,-331.407,36,0,0.734,0.491,0.466,-75.845,13.421,-31.825,0.529,0.392,-0.404,-211.272,-2.692,5.964,0.631,0.900,-2.682,-1.324,0.234,-0.555,-3.687,-0.047,0.104
PG,1370,0.678,1.433,-272.476,43,0,0.828,0.785,0.546,-84.282,9.285,-61.464,0.518,0.574,-0.316,-185.546,56.720,-43.487,0.587,1.550,-2.039,-1.471,0.162,-1.073,-3.238,0.990,-0.759
PRA,1371,0.621,1.267,-321.793,38,0,0.771,0.616,0.596,-83.206,25.765,-60.240,0.530,0.497,-0.306,-152.710,125.405,-61.798,0.742,1.068,-1.759,-1.452,0.450,-1.051,-2.665,2.189,-1.079
PRB,1372,0.485,1.233,-334.439,37,0,0.635,0.721,0.485,-76.508,29.335,-31.986,0.430,0.615,-0.399,-192.874,42.418,-17.623,0.382,1.458,-1.994,-1.335,0.512,-0.558,-3.366,0.740,-0.308
PRD,1373,0.604,1.300,-332.968,39,0,0.754,0.711,0.420,-92.615,29.846,-47.061,0.498,0.578,-0.431,-195.184,120.622,70.438,0.177,1.733,-1.918,-1.616,0.521,-0.821,-3.407,2.105,1.229
PR,1374,0.942,1.467,-212.907,44,0,1.092,0.236,0.556,-72.680,64.471,-69.846,0.673,0.163,-0.279,-77.282,149.732,-40.858,0.941,-0.071,-0.907,-1.268,1.125,-1.219,-1.349,2.613,-0.713
PBA,1375,0.662,1.233,-311.700,37,0,0.812,0.579,0.670,-73.749,21.630,-65.914,0.572,0.480,-0.259,-149.004,99.647,-77.296,0.921,1.053,-1.460,-1.287,0.378,-1.150,-2.601,1.739,-1.349
PG,1376,0.689,1.267,-269.824,38,0,0.839,0.599,0.594,-77.083,36.820,-62.145,0.574,0.481,-0.288,-217.526,153.796,25.245,1.073,1.157,-0.758,-1.345,0.643,-1.085,-3.797,2.684,0.441
PRA,1377,0.567,1.300,-282.188,39,0,0.717,0.752,0.617,-74.962,23.426,-61.401,0.470,0.590,-0.278,-171.860,65.181,-74.642,0.730,1.190,-1.592,-1.308,0.409,-1.072,-3.000,1.138,-1.303
PRB,1378,0.492,1.100,-322.386,33,0,0.642,0.608,0.476,-71.202,16.028,-24.432,0.486,0.544,-0.454,-190.518,50.119,-3.471,0.479,1.241,-2.612,-1.243,0.280,-0.426,-3.325,0.875,-0.061
PRD,1379,0.415,1.133,-337.153,34,0,0.565,0.590,0.473,-68.456,13.946,-23.813,0.401,0.526,-0.448,-165.830,39.820,27.021,0.171,1.478,-2.499,-1.195,0.243,-0.416,-2.894,0.695,0.472
PR,1380,0.581,1.233,-316.806,37,0,0.731,0.621,0.458,-70.559,12.890,-33.317,0.510,0.515,-0.408,-141.357,165.882,105.163,0.522,2.057,-2.619,-1.231,0.225,-0.582,-2.467,2.895,1.835
PBA,1381,0.476,1.100,-335.333,33,0,0.626,0.490,0.454,-71.909,13.249,-29.651,0.467,0.427,-0.484,-181.788,45.194,-7.395,0.398,1.076,-2.696,-1.255,0.231,-0.518,-3.173,0.789,-0.129
PG,1382,0.650,1.233,-323.140,37,0,0.800,0.542,0.466,-70.397,17.671,-34.286,0.560,0.426,-0.423,-139.485,133.838,-1.297,0.636,1.298,-2.644,-1.229,0.308,-0.598,-2.434,2.336,-0.023
PRA,1383,0.478,1.200,-329.984,36,0,0.628,0.779,0.447,-71.458,22.288,-30.251,0.433,0.654,-0.458,-194.383,4.037,22.523,0.257,1.508,-2.517,-1.247,0.389,-0.528,-3.393,0.070,0.393
PRB,1384,0.703,1.333,-249.748,40,0,0.853,0.442,0.524,-74.563,47.767,-62.945,0.563,0.344,-0.315,-97.926,98.537,-13.400,0.898,0.720,-1.332,-1.301,0.834,-1.099,-1.709,1.720,-0.234
PRD,1385,0.496,1.167,-321.916,35,0,0.646,0.722,0.439,-72.010,16.533,-28.925,0.450,0.627,-0.468,-243.246,36.007,10.536,0.201,1.688,-2.285,-1.257,0.289,-0.505,-4.245,0.628,0.184
PR,1386,0.455,1.633,-340.239,49,0,0.605,1.103,0.433,-104.417,4.849,-39.526,0.309,0.706,-0.354,-149.393,95.903,43.530,0.246,1.486,-2.398,-1.822,0.085,-0.690,-2.607,1.674,0.760
PBA,1387,0.644,1.233,-317.520,37,0,0.794,0.570,0.484,-78.433,36.180,-52.133,0.548,0.486,-0.405,-162.692,73.379,1.303,0.647,1.111,-1.738,-1.369,0.631,-0.910,-2.840,1.281,0.023
PG,1388,0.722,1.267,-225.371,38,0,0.872,0.525,0.495,-80.134,43.974,-61.348,0.605,0.445,-0.380,-97.560,129.608,36.343,1.063,1.016,-1.422,-1.399,0.767,-1.071,-1.703,2.262,0.634
PRA,1389,0.697,1.267,-311.974,38,0,0.847,0.257,0.551,-16.907,61.272,-11.091,0.568,0.194,-0.302,-5.858,129.974,3.282,1.047,0.389,-1.253,-0.295,1.069,-0.194,-0.102,2.268,0.057
PRB,1390,0.811,1.600,-192.983,48,0,0.961,0.404,0.695,-72.735,41.949,-62.244,0.536,0.264,-0.154,-121.007,78.822,27.637,0.496,0.656,-0.072,-1.269,0.732,-1.086,-2.112,1.376,0.482
PRD,1391,0.624,1.500,-254.114,45,0,0.774,0.663,0.599,-92.133,32.506,-61.202,0.460,0.473,-0.252,-90.766,60.359,47.821,0.651,1.194,-1.056,-1.608,0.567,-1.068,-1.584,1.053,0.835
PR,1392,0.567,1.133,-324.818,34,0,0.717,0.564,0.478,-68.648,14.767,-32.633,0.518,0.486,-0.466,-182.130,52.909,6.886,0.446,1.058,-2.759,-1.198,0.258,-0.570,-3.179,0.923,0.120
PBA,1393,0.694,1.333,-234.984,40,0,0.844,0.647,0.484,-93.616,32.147,-63.721,0.563,0.523,-0.382,-157.044,101.413,24.534,0.808,1.182,-1.542,-1.634,0.561,-1.112,-2.741,1.770,0.428
PG,1394,0.831,1.300,-324.102,39,0,0.981,0.367,0.462,-29.044,63.990,-24.373,0.648,0.288,-0.404,29.908,138.796,52.772,1.104,0.692,-1.684,-0.507,1.117,-0.425,0.522,2.422,0.921
PRA,1395,0.684,1.067,-354.238,32,0,0.834,0.334,0.508,-45.145,54.434,-36.530,0.652,0.315,-0.445,-122.773,146.124,-39.381,1.019,0.307,-1.625,-0.788,0.950,-0.638,-2.143,2.550,-0.687
PRB,1396,0.762,1.200,-332.793,36,0,0.912,0.301,0.492,-22.596,62.030,-17.554,0.650,0.232,-0.380,-20.266,124.193,7.876,1.112,0.293,-1.468,-0.394,1.083,-0.306,-0.354,2.168,0.137
PRD,1397,0.793,1.233,-330.714,37,0,0.943,0.345,0.404,-67.857,61.535,-58.436,0.657,0.277,-0.458,-143.080,154.451,-34.245,0.843,0.112,-1.923,-1.184,1.074,-1.020,-2.497,2.696,-0.598
PR,1398,0.766,1.133,-330.975,34,0,0.916,0.212,0.485,-16.780,63.636,-13.325,0.693,0.169,-0.403,-60.459,108.501,2.776,1.347,0.420,-1.453,-0.293,1.111,-0.233,-1.055,1.894,0.048
PBA,1399,0.676,1.233,-259.262,37,0,0.826,0.438,0.478,-77.639,42.837,-62.404,0.571,0.371,-0.405,-124.434,106.437,-21.908,0.824,0.714,-1.600,-1.355,0.748,-1.089,-2.172,1.858,-0.382
PG,1400,0.792,1.267,-323.819,38,0,0.942,0.294,0.473,-52.486,61.846,-47.477,0.639,0.231,-0.389,-117.778,150.308,-55.976,0.959,0.011,-1.515,-0.916,1.079,-0.829,-2.056,2.623,-0.977
PRA,1401,0.704,1.133,-359.871,34,0,0.854,0.218,0.541,-23.369,57.228,-20.323,0.636,0.182,-0.367,-82.986,102.380,-76.943,1.131,0.053,-1.327,-0.408,0.999,-0.355,-1.448,1.787,-1.343
PRB,1402,0.775,1.267,-330.321,38,0,0.925,0.338,0.458,-53.550,60.486,-41.070,0.625,0.266,-0.404,-149.613,160.906,-38.669,0.911,0.094,-1.654,-0.935,1.056,-0.717,-2.611,2.808,-0.675
PRD,1403,0.754,1.633,-210.453,49,0,0.904,0.413,0.589,-78.703,47.378,-62.020,0.489,0.269,-0.223,-111.208,75.061,17.553,0.673,0.542,-0.964,-1.374,0.827,-1.082,-1.941,1.310,0.306
PR,1404,0.782,1.167,-341.343,35,0,0.932,0.267,0.477,-45.256,60.320,-41.646,0.679,0.221,-0.431,-150.292,157.325,-58.487,0.952,0.092,-1.659,-0.790,1.053,-0.727,-2.623,2.746,-1.021
PBA,1405,0.789,1.233,-309.024,37,0,0.939,0.267,0.481,-50.236,59.638,-42.499,0.654,0.213,-0.389,-132.218,147.808,-54.208,1.049,0.093,-1.464,-0.877,1.041,-0.742,-2.308,2.580,-0.946
PG,1406,0.736,1.167,-339.542,35,0,0.886,0.650,0.486,-72.916,37.341,-46.572,0.648,0.570,-0.439,-194.608,62.410,-31.237,0.789,1.177,-1.913,-1.273,0.652,-0.813,-3.397,1.089,-0.545
PRA,1407,0.732,1.133,-315.773,34,0,0.882,0.152,0.545,2.137,65.945,1.963,0.675,0.107,-0.352,6.125,120.993,9.752,1.139,0.037,-1.303,0.037,1.151,0.034,0.107,2.112,0.170
PRB,1408,0.739,1.200,-316.918,36,0,0.889,0.136,0.493,-7.921,66.366,-7.165,0.638,0.099,-0.367,-1.112,131.947,2.577,1.131,0.029,-1.511,-0.138,1.158,-0.125,-0.019,2.303,0.045
PRD,1409,0.854,1.133,-320.511,34,0,1.004,0.261,0.402,-17.609,69.985,-15.259,0.772,0.207,-0.508,-22.934,167.169,5.359,1.164,0.224,-2.166,-0.307,1.221,-0.266,-0.400,2.918,0.094
PR,1410,0.723,1.200,-212.017,36,0,0.873,0.173,0.473,62.291,81.180,67.713,0.670,0.102,-0.377,21.475,140.112,27.594,1.071,-0.033,-1.379,1.087,1.417,1.182,0.375,2.445,0.482
PBA,1411,0.685,1.167,-239.203,35,0,0.835,0.138,0.472,69.416,77.949,76.560,0.665,0.087,-0.390,-22.341,149.188,-28.132,1.204,-0.014,-1.355,1.212,1.360,1.336,-0.390,2.604,-0.491
PG,1412,0.772,1.133,-324.691,34,0,0.922,0.162,0.486,-10.031,67.509,-7.701,0.709,0.123,-0.419,-9.030,143.894,11.398,1.190,0.193,-1.724,-0.175,1.178,-0.134,-0.158,2.511,0.199
PRA,1413,0.684,1.067,-328.967,32,0,0.834,0.169,0.523,13.744,74.496,18.194,0.696,0.123,-0.391,7.457,138.380,18.274,1.213,0.087,-1.436,0.240,1.300,0.318,0.130,2.415,0.319
PRB,1414,0.764,1.100,-332.017,33,0,0.914,0.222,0.463,-22.091,65.593,-17.829,0.718,0.184,-0.454,-55.660,142.017,-31.353,1.220,0.134,-1.838,-0.386,1.145,-0.311,-0.971,2.479,-0.547
PRD,1415,0.845,1.167,-325.416,35,0,0.995,0.225,0.395,-22.380,71.470,-16.616,0.740,0.181,-0.495,-16.195,162.395,8.298,1.234,0.479,-1.988,-0.391,1.247,-0.290,-0.283,2.834,0.145
PR,1416,0.632,1.233,-223.390,37,0,0.782,0.060,0.549,66.120,72.079,69.215,0.584,0.008,-0.287,30.776,111.441,2.344,0.913,-0.312,-0.661,1.154,1.258,1.208,0.537,1.945,0.041
PBA,1417,0.723,1.167,-334.097,35,0,0.873,0.143,0.493,-8.617,75.726,-13.842,0.657,0.104,-0.375,18.572,131.267,12.112,1.114,-0.022,-1.354,-0.150,1.322,-0.242,0.324,2.291,0.211
PG,1418,0.738,1.133,-224.212,34,0,0.888,0.154,0.460,94.014,82.636,96.553,0.727,0.094,-0.430,-28.737,160.176,-26.845,1.211,-0.043,-1.536,1.641,1.442,1.685,-0.502,2.796,-0.469
PRA,1419,0.522,1.867,-263.721,56,0,0.672,-0.003,0.551,60.758,70.037,71.315,0.317,-0.018,-0.177,22.568,100.040,-30.519,0.619,-0.990,-0.779,1.060,1.222,1.245,0.394,1.746,-0.533
PRB,1420,0.669,1.200,-246.934,36,0,0.819,0.080,0.490,78.890,75.143,81.851,0.634,0.025,-0.359,21.204,181.209,-29.367,1.027,-0.329,-1.128,1.377,1.311,1.429,0.370,3.163,-0.513
PRD,1421,0.751,1.233,-228.031,37,0,0.901,0.211,0.446,70.902,86.794,75.001,0.670,0.141,-0.403,14.556,139.830,19.037,1.072,0.050,-1.744,1.237,1.515,1.309,0.254,2.440,0.332
PR,1422,0.539,1.667,-238.548,50,0,0.689,-0.015,0.565,67.182,69.569,71.226,0.378,-0.036,-0.187,29.343,127.127,-19.793,0.660,-0.758,-0.781,1.173,1.214,1.243,0.512,2.219,-0.345
PBA,1423,0.753,2.333,-192.924,70,0,0.903,0.072,0.491,123.002,84.476,126.159,0.364,0.021,-0.173,69.760,94.786,5.571,1.013,-0.611,-1.071,2.147,1.474,2.202,1.218,1.654,0.097
PG,1424,0.431,1.400,-268.955,42,0,0.581,0.086,0.581,59.493,71.437,69.079,0.374,0.035,-0.206,60.009,86.204,-28.121,0.825,-0.509,-0.527,1.038,1.247,1.206,1.047,1.505,-0.491
PRA,1425,0.559,1.500,-240.928,45,0,0.709,0.033,0.582,55.518,69.750,63.133,0.427,-0.011,-0.200,-21.744,123.414,-26.276,0.613,-0.932,-0.649,0.969,1.217,1.102,-0.379,2.154,-0.459
PRB,1426,0.457,1.600,-265.453,48,0,0.607,0.073,0.566,55.832,68.131,60.343,0.335,0.019,-0.204,15.513,122.335,-65.556,0.774,-0.867,-0.653,0.974,1.189,1.053,0.271,2.135,-1.144
PRD,1427,0.492,1.767,-282.527,53,0,0.642,-0.041,0.573,64.864,72.342,65.889,0.326,-0.056,-0.189,-9.110,158.011,-74.012,0.760,-0.967,-0.743,1.132,1.263,1.150,-0.159,2.758,-1.292
PR,1428,0.657,2.000,-218.210,60,0,0.807,0.132,0.567,75.477,85.355,80.949,0.369,0.051,-0.163,66.131,165.631,11.722,0.424,-0.794,-0.596,1.317,1.490,1.413,1.154,2.891,0.205
PBA,1429,0.880,2.433,-297.815,73,0,1.030,0.304,0.471,-31.187,75.343,-34.758,0.372,0.110,-0.187,-48.248,126.772,-79.014,1.077,-0.382,-1.181,-0.544,1.315,-0.607,-0.842,2.213,-1.379
PG,1430,0.440,1.800,-247.415,54,0,0.590,0.092,0.612,52.638,73.796,61.241,0.302,0.022,-0.153,15.261,109.360,-37.880,0.771,-0.553,-0.841,0.919,1.288,1.069,0.266,1.909,-0.661
PRA,1431,0.484,1.933,-282.399,58,0,0.634,0.071,0.571,64.484,73.376,75.760,0.296,0.019,-0.173,96.774,155.731,-11.454,1.000,-0.997,-0.516,1.125,1.281,1.322,1.689,2.718,-0.200
PRB,1432,0.759,2.367,-300.823,71,0,0.909,0.265,0.491,-27.162,69.605,-29.996,0.325,0.102,-0.186,-27.435,112.353,-85.147,1.138,-0.276,-1.031,-0.474,1.215,-0.524,-0.479,1.961,-1.486
PRD,1433,0.794,2.167,-322.029,65,0,0.944,0.159,0.397,-40.170,84.399,-42.987,0.382,0.055,-0.245,-36.576,150.421,-21.106,1.089,-0.389,-1.435,-0.701,1.473,-0.750,-0.638,2.625,-0.368
PR,1434,0.828,2.400,-292.647,72,0,0.978,0.572,0.476,-52.681,54.319,-32.343,0.351,0.224,-0.201,-129.151,109.319,-25.115,0.690,0.578,-1.309,-0.919,0.948,-0.564,-2.254,1.908,-0.438
PBA,1435,0.466,1.833,-226.974,55,0,0.616,0.215,0.597,52.379,84.088,60.644,0.313,0.094,-0.152,25.288,76.874,-1.660,0.738,-0.273,-0.371,0.914,1.468,1.058,0.441,1.342,-0.029
PG,1436,0.696,2.467,-240.975,74,0,0.846,0.990,0.459,-88.667,41.061,-20.246,0.285,0.429,-0.235,-141.074,72.421,60.104,0.681,1.607,-1.741,-1.548,0.717,-0.353,-2.462,1.264,1.049
PRA,1437,-0.130,1.933,-332.913,58,0,0.020,1.036,0.499,-85.451,1.090,-0.056,-0.062,0.578,-0.274,-154.657,-46.532,47.590,-1.037,1.437,-2.026,-1.491,0.019,-0.001,-2.699,-0.812,0.831
